"Dinophysis";"Dinophysis + phalacroma";"Dinophysis acuminata";"Dinophysis caudata";"Dinophysis tripos";"Dinophysis acuta";"Dinophysis sacculus";"Dinophysis fortii";"Dinophysis hastata + odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;11;"At so";2015;3;2015-03-10;"14:25:00";"FLORTOT";1,4745046439;50,2312831163;60515629;69;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;3;2015-03-20;"11:50:00";"FLORTOT";1,4745046439;50,2312831163;60515878;79;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;4;2015-04-16;"10:30:00";"FLORTOT";1,4745046439;50,2312831163;60521327;106;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;5;2015-05-11;"17:50:00";"FLORTOT";1,4745046439;50,2312831163;60522083;131;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;6;2015-06-04;"13:45:00";"FLORTOT";1,4745046439;50,2312831163;60522878;155;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;6;2015-06-17;"13:40:00";"FLORTOT";1,4745046439;50,2312831163;60523306;168;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;7;2015-07-16;"13:00:00";"FLORTOT";1,4745046439;50,2312831163;60524260;197;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;8;2015-08-11;"10:15:00";"FLORTOT";1,4745046439;50,2312831163;60525315;223;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;9;2015-09-28;"12:43:00";"FLORTOT";1,4745046439;50,2312831163;60528415;271;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;10;2015-10-19;"16:15:00";"FLORTOT";1,4745046439;50,2312831163;60529833;292;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2015;12;2015-12-14;"13:30:00";"FLORTOT";1,4745046439;50,2312831163;60537124;348;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;2;2016-02-24;"12:45:00";"FLORTOT";1,4745046439;50,2312831163;60540584;55;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;3;2016-03-11;"13:20:00";"FLORTOT";1,4745046439;50,2312831163;60541475;71;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;3;2016-03-22;"11:20:00";"FLORTOT";1,4745046439;50,2312831163;60543320;82;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;4;2016-04-11;"15:30:00";"FLORTOT";1,4745046439;50,2312831163;60547118;102;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;4;2016-04-22;"13:15:00";"FLORTOT";1,4745046439;50,2312831163;60553496;113;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;5;2016-05-11;"15:45:00";"FLORTOT";1,4745046439;50,2312831163;60553968;132;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;5;2016-05-24;"14:25:00";"FLORTOT";1,4745046439;50,2312831163;60554689;145;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;6;2016-06-06;"13:40:00";"FLORTOT";1,4745046439;50,2312831163;60555311;158;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;6;2016-06-23;"14:25:00";"FLORTOT";1,4745046439;50,2312831163;60556142;175;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;7;2016-07-19;"12:45:00";"FLORTOT";1,4745046439;50,2312831163;60557334;201;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;8;2016-08-16;"11:45:00";"FLORTOT";1,4745046439;50,2312831163;60558546;229;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;9;2016-09-07;"15:54:00";"FLORTOT";1,4745046439;50,2312831163;60559437;251;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;10;2016-10-27;"11:00:00";"FLORTOT";1,4745046439;50,2312831163;60562331;301;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;11;2016-11-30;"12:00:00";"FLORTOT";1,4745046439;50,2312831163;60563875;335;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2016;12;2016-12-15;"12:35:00";"FLORTOT";1,4745046439;50,2312831163;60564564;350;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;1;2017-01-03;"15:20:00";"FLORTOT";1,4745046439;50,2312831163;60565257;3;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;1;2017-01-26;"10:40:00";"FLORTOT";1,4745046439;50,2312831163;60566356;26;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;2;2017-02-16;"15:05:00";"FLORTOT";1,4745046439;50,2312831163;60574001;47;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;3;2017-03-13;"12:45:00";"FLORTOT";1,4745046439;50,2312831163;60581469;72;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;3;2017-03-27;"12:13:00";"FLORTOT";1,4745046439;50,2312831163;60588754;86;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;4;2017-04-07;"10:02:00";"FLORTOT";1,4745046439;50,2312831163;60589068;97;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;5;2017-05-10;"12:20:00";"FLORTOT";1,4745046439;50,2312831163;60599865;130;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;5;2017-05-24;"11:20:00";"FLORTOT";1,4745046439;50,2312831163;60602957;144;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;6;2017-06-22;"11:25:00";"FLORTOT";1,4745046439;50,2312831163;60604239;173;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;7;2017-07-26;"15:05:00";"FLORTOT";1,4745046439;50,2312831163;60608312;207;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;8;2017-08-07;"12:55:00";"FLORTOT";1,4745046439;50,2312831163;60609228;219;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;8;2017-08-22;"13:05:00";"FLORTOT";1,4745046439;50,2312831163;60609795;234;0;0;0
