"Fortnight";"Year";"Code_point_Libelle";"latitude";"longitude";"ssr";"tcc";"u10";"v10"
2;2014;"Teychan bis";44,75;0;2,3283064e-10;0,95338225;1,91250825;1,30897985
2;2014;"les Hébihens";48,75;0;2,3283064e-10;1;1,666484;3,43820575
2;2015;"Antifer ponton pétrolier";49,75;0,25;2,3283064e-10;0,91202907;2,6392355;1,0979809
2;2015;"Arcachon - Bouée 7";44,5;0;2,3283064e-10;0,94885017;1,3644577;0,641481275
2;2015;"At so";50,25;1,5;2,3283064e-10;0,895182585;2,5866828;0,97972198
2;2015;"Auger";45,75;0;2,3283064e-10;0,97263973;0,21981035;-0,420844985
2;2015;"Cabourg";49,25;0;2,3283064e-10;0,89258848;1,54313685;0,844425705
2;2015;"Le Cornard";46;0;2,3283064e-10;0,974425065;0,28387457;-0,405310975
2;2015;"Loguivy";48,75;0;2,3283064e-10;0,9112508;1,3909844;0,41548641
2;2015;"Men er Roue";47,5;0;2,3283064e-10;0,94334153;0,8909831;0,0757424375
2;2015;"Ouest Loscolo";47,5;0;2,3283064e-10;0,94334153;0,8909831;0,0757424375
2;2015;"Point 1 Boulogne";50,75;1,5;2,3283064e-10;0,81784748;3,3099078;0,76675565
2;2015;"Teychan bis";44,75;0;2,3283064e-10;0,96046268;1,1252179;0,234089185
2;2015;"les Hébihens";48,75;0;2,3283064e-10;0,9112508;1,3909844;0,41548641
2;2016;"Antifer ponton pétrolier";49,75;0,25;0;0,900874385;1,06810525;4,3220967
2;2016;"Arcachon - Bouée 7";44,5;0;0;0,8457571;-0,87917553;1,14355955
2;2016;"At so";50,25;1,5;0;0,8358689;1,56861725;3,32280865
2;2016;"Auger";45,75;0;0;0,943524625;-0,757977625;1,37126315
2;2016;"Cabourg";49,25;0;0;0,9012711;0,815567255;2,74866045
2;2016;"Le Cornard";46;0;0;0,95275663;-0,46132155;1,37126315
2;2016;"Loguivy";48,75;0;0;0,954526725;0,587877395;2,44226165
2;2016;"Men er Roue";47,5;0;0;0,984999935;-0,4430658;1,1305214
2;2016;"Ouest Loscolo";47,5;0;0;0,984999935;-0,4430658;1,1305214
2;2016;"Point 1 Boulogne";50,75;1,5;0;0,8116369;2,41801715;3,4643668
2;2016;"Teychan bis";44,75;0;0;0,902507115;-1,0591976;1,1253992
2;2016;"les Hébihens";48,75;0;0;0,954526725;0,587877395;2,44226165
2;2017;"Antifer ponton pétrolier";49,75;0,25;-2,3283064e-10;0,15228968;-3,30899105;0,68344702
2;2017;"Arcachon - Bouée 7";44,5;0;-2,3283064e-10;0,15326629;-0,3519354;-0,929376515
2;2017;"At so";50,25;1,5;-2,3283064e-10;0,336898965;-2,92363335;0,549219285
2;2017;"Auger";45,75;0;-2,3283064e-10;0,12851541;-1,9251308;-1,68414615
2;2017;"Cabourg";49,25;0;-2,3283064e-10;0,195306185;-1,9071586;0,31087096
2;2017;"Le Cornard";46;0;-2,3283064e-10;0,135931525;-2,32720685;-2,102301
2;2017;"Loguivy";48,75;0;-2,3283064e-10;0,112813392;-1,7654707;-0,38410252
2;2017;"Men er Roue";47,5;0;-2,3283064e-10;0,1075946475;-2,0994195;-1,01927985
2;2017;"Ouest Loscolo";47,5;0;-2,3283064e-10;0,1075946475;-2,0994195;-1,01927985
